epochs, EmbeddingSimilarity,nll-test,true-nll-test,
1,-0.003680820688846838,2.3278446,2.3831086,
6,-0.003081185815480341,1.8115966,2.1543696,
11,-0.002654118089963876,1.5460775,2.1729867,
16,-0.0027058507930594724,1.3890371,2.2614884,
21,-0.002632184289607658,1.3009787,2.3597262,
26,-0.002705067926736765,1.2501419,2.4393542,
31,-0.002790161637598922,1.2148643,2.5122976,
36,-0.0026224569917101723,1.1860764,2.5865734,
41,-0.00276736187043448,1.1638604,2.6582332,
46,-0.002694710929958327,1.1418635,2.7327592,
51,-0.0027604565902487025,1.1303201,2.8002937,
56,-0.0027889410054843296,1.1198472,2.8697116,
61,-0.0027049788309894563,1.1123365,2.9392424,
66,-0.0027553936164737215,1.102002,2.9972916,
71,-0.002781037041695932,1.1000576,3.0535445,
76,-0.0028012585468486944,1.0913528,3.1096098,
81,-0.0027257061768746304,1.0900583,3.1573503,
86,-0.0027899138745052154,1.0893954,3.2055573,
91,-0.0027537584438538307,1.088143,3.248397,
96,-0.002885164073724604,1.0874122,3.2787452,
101,-0.0028526558708824607,1.0857033,3.3161535,
106,-0.0028395033812807606,1.0804185,3.3477356,
111,-0.002776358359369705,1.0750843,3.3742568,
116,-0.0027770041218515766,1.0651846,3.397858,
121,-0.002756901893036466,1.060585,3.4203696,
126,-0.0027986017440515005,1.0517015,3.4531431,
