epochs, EmbeddingSimilarity,nll-test,true-nll-test,
1,-0.0038238928884082373,2.2901218,2.359528,
11,-0.0031330866212484296,1.561385,2.1866457,
21,-0.0028647838868175626,1.325723,2.3788867,
31,-0.0031276415573061223,1.2490461,2.5384567,
41,-0.0030518625905506867,1.2176538,2.6929255,
51,-0.003188281496911491,1.2065061,2.815807,
52,-0.0030176537424255524,1.2087098,2.8159642,
53,-0.0030962044316319194,1.210549,2.816218,
54,-0.003009403108454806,1.2129372,2.8163104,
55,-0.0029921044790689496,1.2160013,2.8173199,
56,-0.00298051348137942,1.2194053,2.818776,
57,-0.003026194234654649,1.2230914,2.8199966,
58,-0.0030318854448773253,1.2272269,2.8215945,
59,-0.0030094404164597273,1.2316494,2.8233192,
60,-0.0031091799397557746,1.2364411,2.8260255,
61,-0.00308999995204551,1.2411371,2.8285859,
62,-0.0031695090244261825,1.2461224,2.8314779,
63,-0.003116157846575529,1.2511343,2.8348856,
64,-0.0032110400366811317,1.2567297,2.838563,
65,-0.003249317257809221,1.2622585,2.8424597,
66,-0.0033374865927538505,1.267942,2.8462594,
67,-0.00329578952557918,1.273491,2.849759,
68,-0.003323251987741646,1.278926,2.8532689,
69,-0.00346457441782259,1.2842423,2.8568807,
70,-0.003396448989453837,1.2890762,2.8597693,
71,-0.0034455216377956483,1.293926,2.862583,
72,-0.0035070982093868006,1.2985609,2.8651965,
73,-0.003599425577989726,1.3033937,2.868344,
74,-0.0035630625809511284,1.3079885,2.8708816,
75,-0.0036110503013944036,1.3124664,2.8734863,
76,-0.0036181389671301883,1.3167262,2.8758912,
77,-0.0036433150938327153,1.3212079,2.8786647,
78,-0.0036142342723318537,1.3257143,2.8817265,
79,-0.003677665620905116,1.3302939,2.8848417,
80,-0.0037093415967824573,1.3348497,2.8883224,
81,-0.003912644500745325,1.3388357,2.8918717,
82,-0.0037055408489399416,1.343178,2.895268,
83,-0.0037915876781539314,1.347677,2.8988297,
84,-0.0036562334943349866,1.351833,2.9021409,
85,-0.003696971736381247,1.3557622,2.905288,
86,-0.003643385963016225,1.3598514,2.9081445,
87,-0.003622313618214941,1.363794,2.910631,
88,-0.003586531112454286,1.3675449,2.9128342,
89,-0.0036957149078304568,1.3713611,2.9151912,
90,-0.0038145035489075695,1.3748566,2.9179535,
91,-0.0036119765306667382,1.3788313,2.9209037,
92,-0.0037435022805579784,1.3834162,2.924356,
93,-0.003837144001386545,1.38783,2.9279356,
94,-0.003594820269905932,1.3924994,2.931575,
95,-0.003777928264537009,1.396598,2.9345984,
96,-0.0036607658005302244,1.400438,2.9377837,
97,-0.003663759539251129,1.4040561,2.9409378,
98,-0.003664683166958156,1.4080487,2.9441686,
99,-0.0036610994164428855,1.4121602,2.9475942,
100,-0.0037590367826229065,1.4158393,2.9508698,
101,-0.0036930792854870534,1.4199154,2.954446,
102,-0.003737079897602914,1.4234378,2.9575448,
103,-0.0036789784119806274,1.4268557,2.9606588,
104,-0.0036990265563752595,1.4301963,2.9637418,
105,-0.003641578338946397,1.433903,2.9668593,
106,-0.0037067750782229293,1.4368503,2.9692945,
107,-0.0038335910719511077,1.4394608,2.9713821,
108,-0.0036127602274690952,1.4416769,2.9733083,
109,-0.003695093643146068,1.4438238,2.975093,
110,-0.0036956980987239087,1.4462787,2.977054,
111,-0.003803912065252828,1.4492102,2.9795308,
112,-0.0037714233146693946,1.4516932,2.9815278,
113,-0.0038088667605861216,1.453811,2.9835308,
114,-0.003786646888082535,1.4559928,2.9854186,
115,-0.0037052686589511977,1.4580792,2.9872525,
116,-0.003710374335720429,1.459805,2.9887915,
117,-0.003714266242899035,1.4616517,2.9902036,
118,-0.0037423513564241616,1.4633875,2.9914825,
119,-0.0037894561244811212,1.4649458,2.9926832,
120,-0.003814509717964886,1.4665998,2.9939857,
121,-0.0038227333509200353,1.468212,2.9952874,
122,-0.0038145414234265606,1.469513,2.9964828,
123,-0.003950926351733591,1.4710226,2.9978578,
124,-0.003774179744975118,1.4722537,2.9988031,
125,-0.003799629937658916,1.4735512,2.999879,
126,-0.003969833443035661,1.4747125,3.0007231,
127,-0.004059682466897142,1.4759868,3.0015602,
128,-0.003960637348487104,1.4773012,3.002349,
129,-0.004107141370512847,1.4785889,3.0030217,
130,-0.004156887573486656,1.4796356,3.0035493,
