nll-oracle,nll-test,EmbeddingSimilarity,
1,10.76342,7.6015186,-0.21351615833433557,
6,10.155461,6.960105,-0.20740480170990708,
11,9.991429,6.701217,-0.20368995644134766,
16,9.968353,6.562705,-0.20297428540967294,
21,9.965757,6.4736977,-0.20548344464796744,
26,9.92848,6.382366,-0.20923331828072742,
31,9.910528,6.3009915,-0.206769602533879,
36,9.904159,6.2395864,-0.2064570621740533,
41,9.910256,6.2016697,-0.20418940814426434,
46,9.889306,6.162337,-0.20543579129001607,
51,9.917518,6.1428003,-0.20760470551333174,
56,9.903288,6.121818,-0.20551006273956532,
61,9.888138,6.098577,-0.20403596986313663,
66,9.888359,6.077063,-0.20332351614583485,
71,9.893784,6.05888,-0.20382492343154243,
76,9.897646,6.0482683,-0.202102509570914,
