epochs, nll-oracle,nll-test,EmbeddingSimilarity,
1,10.762222,7.6015186,-0.2097839101776224,
6,10.161589,6.960105,-0.20849938774934826,
11,10.013956,6.701217,-0.20809148869094188,
16,9.978387,6.562705,-0.20728559945505778,
21,9.94475,6.4736977,-0.21135834901948578,
26,9.937437,6.382366,-0.20750964334519764,
31,9.897756,6.3009915,-0.20929116101632836,
36,9.896594,6.2395864,-0.2037070021170397,
41,9.898653,6.2016697,-0.2043409148928192,
46,9.882562,6.162337,-0.2043435883702328,
51,9.906178,6.1428003,-0.21007791050653066,
56,9.900187,6.121818,-0.20668519433859098,
61,9.895845,6.098577,-0.20971464268735185,
66,9.888492,6.077063,-0.20742479690925533,
71,9.90116,6.05888,-0.20495331222244956,
76,9.883118,6.0482683,-0.20693308494941093,
81,9.8590145,6.0434523,-0.20758718247734773,
86,9.713372,6.0878334,-0.20114964779992806,
91,9.642475,6.141965,-0.1976254776795136,
96,9.578693,6.194517,-0.19999249590117352,
101,9.561284,6.244134,-0.1972117223997895,
106,9.501121,6.2906704,-0.19665465954166877,
111,9.504289,6.3310866,-0.19831275961235678,
116,9.508515,6.3688107,-0.19820252304827699,
121,9.517014,6.40153,-0.1970628998001582,
126,9.546052,6.431602,-0.1948483139942829,
131,9.590779,6.4603496,-0.19739509938739694,
136,9.620017,6.4858503,-0.19899880703318462,
141,9.645293,6.507789,-0.1972813277446342,
146,9.660552,6.5283175,-0.19757348609213635,
151,9.65593,6.5483756,-0.1994236345029228,
156,9.640758,6.5714126,-0.20005913976784692,
161,9.648246,6.5987344,-0.1993863695334112,
166,9.61702,6.6236057,-0.198531466671775,
171,9.660646,6.644264,-0.20167780023510973,
176,9.676688,6.661578,-0.2009985447832329,
180,9.712431,6.675408,-0.20238706659081698,
